股票代码,股票名称,研报标题,PDF路径,下载时间
600036,招商银行,招商银行2025年半年报业绩点评：净利润重回正增，首次实施中期分红,data/研报PDF\招商银行\招商银行2025年半年报业绩点评：净利润重回正增，首次实施中期分红.pdf,2025-11-16 00:36:24
600036,招商银行,招商银行2024年年报点评：中期分红落地，静待零售回暖,data/研报PDF\招商银行\招商银行2024年年报点评：中期分红落地，静待零售回暖.pdf,2025-11-16 00:36:27
600036,招商银行,招商银行2024年年报业绩点评：负债成本优化，分红率领先同业,data/研报PDF\招商银行\招商银行2024年年报业绩点评：负债成本优化，分红率领先同业.pdf,2025-11-16 00:36:30
600036,招商银行,24Q3招商银行业绩点评：Q3零售带动贷款增长，资产质量向更优异出发,data/研报PDF\招商银行\24Q3招商银行业绩点评：Q3零售带动贷款增长，资产质量向更优异出发.pdf,2025-11-16 00:36:33
600036,招商银行,招商银行2024年半年度报告点评：NIM降幅收窄，投资收益表现亮眼,data/研报PDF\招商银行\招商银行2024年半年度报告点评：NIM降幅收窄，投资收益表现亮眼.pdf,2025-11-16 00:36:36
600036,招商银行,招商银行：业绩拐点已现，迈入财富管理3.0时代,data/研报PDF\招商银行\招商银行：业绩拐点已现，迈入财富管理3.0时代.pdf,2025-11-16 00:36:39
600036,招商银行,招商银行2020年业绩快报点评：完美收官，全年利润增速提高到近5%,data/研报PDF\招商银行\招商银行2020年业绩快报点评：完美收官，全年利润增速提高到近5%.pdf,2025-11-16 00:36:42
600036,招商银行,招商银行2020年中报业绩点评：依托“金融科技+零售”一体两翼的飞轮效应，非息业务优势凸显,data/研报PDF\招商银行\招商银行2020年中报业绩点评：依托“金融科技+零售”一体两翼的飞轮效应，非息业务优势凸显.pdf,2025-11-16 00:36:45
600036,招商银行,招商银行：零售端资产质量边际改善，拨备计提拖累利润增速,data/研报PDF\招商银行\招商银行：零售端资产质量边际改善，拨备计提拖累利润增速.pdf,2025-11-16 00:36:48
600036,招商银行,详细解读招商银行2020年半年报：力压可比同业，资产质量拐点出现,data/研报PDF\招商银行\详细解读招商银行2020年半年报：力压可比同业，资产质量拐点出现.pdf,2025-11-16 00:36:52
